tree,operation,pattern,n,time,rotations,comparisons,height
AVL,insert,random,1000,0.000000,671,8719,12
AVL,search,random,1000,0.000000,0,9172,12
AVL,delete,random,1000,0.000000,396,8569,12
RB,insert,random,1000,0.000000,585,8820,12
RB,search,random,1000,0.003000,0,8254,12
RB,delete,random,1000,-0.000000,85,6364,12
Splay,insert,random,1000,-0.000000,11479,11500,24
Splay,search,random,1000,0.001000,0,14126,25
Splay,delete,random,1000,-0.000000,13480,11437,0
AVL,insert,sorted,1000,-0.000000,990,8977,10
AVL,search,sorted,1000,-0.000000,0,8987,10
AVL,delete,sorted,1000,-0.000000,491,6806,10
RB,insert,sorted,1000,-0.000000,983,14481,17
RB,search,sorted,1000,-0.000000,0,8406,17
RB,delete,sorted,1000,-0.000000,242,6085,17
Splay,insert,sorted,1000,0.001000,999,999,1000
Splay,search,sorted,1000,0.000000,0,5374,1000
Splay,delete,sorted,1000,0.000000,3375,4375,0
AVL,insert,reverse,1000,0.000000,990,8977,10
AVL,search,reverse,1000,0.000000,0,8987,10
AVL,delete,reverse,1000,0.000000,491,6806,10
RB,insert,reverse,1000,0.000000,983,14481,17
RB,search,reverse,1000,0.000000,0,8406,17
RB,delete,reverse,1000,0.000000,242,6085,17
Splay,insert,reverse,1000,0.000000,999,999,1000
Splay,search,reverse,1000,0.000000,0,5374,1000
Splay,delete,reverse,1000,0.000000,3375,1999,0
AVL,insert,random,5000,0.001000,3245,54703,14
AVL,search,random,5000,0.001000,0,57033,14
AVL,delete,random,5000,0.000000,1836,53960,14
RB,insert,random,5000,0.001000,2927,55748,15
RB,search,random,5000,0.001000,0,52427,15
RB,delete,random,5000,-0.000000,427,43345,15
Splay,insert,random,5000,0.002000,72747,73100,39
Splay,search,random,5000,-0.000000,0,85788,37
Splay,delete,random,5000,0.002000,85289,73954,0
AVL,insert,sorted,5000,0.000000,4987,56809,13
AVL,search,sorted,5000,0.000000,0,56822,13
AVL,delete,sorted,5000,0.003000,2489,42534,13
RB,insert,sorted,5000,0.000000,4978,95715,22
RB,search,sorted,5000,-0.000000,0,54435,22
RB,delete,sorted,5000,-0.000000,1240,41849,22
Splay,insert,sorted,5000,-0.000000,4999,4999,5000
Splay,search,sorted,5000,0.001000,0,27028,5000
Splay,delete,sorted,5000,-0.000000,17029,22029,0
AVL,insert,reverse,5000,0.001000,4987,56809,13
AVL,search,reverse,5000,-0.000000,0,56822,13
AVL,delete,reverse,5000,-0.000000,2489,42534,13
RB,insert,reverse,5000,0.001000,4978,95715,22
RB,search,reverse,5000,-0.000000,0,54435,22
RB,delete,reverse,5000,-0.000000,1240,41849,22
Splay,insert,reverse,5000,-0.000000,4999,4999,5000
Splay,search,reverse,5000,0.001000,0,27028,5000
Splay,delete,reverse,5000,-0.000000,17029,9999,0
AVL,insert,random,10000,0.003000,6009,118121,15
AVL,search,random,10000,0.001000,0,122466,15
AVL,delete,random,10000,0.001000,3519,115805,15
RB,insert,random,10000,0.002000,5881,121661,16
RB,search,random,10000,0.001000,0,113577,16
RB,delete,random,10000,0.001000,791,96640,16
Splay,insert,random,10000,0.002000,157899,159292,37
Splay,search,random,10000,0.005000,0,182259,36
Splay,delete,random,10000,0.004000,174152,160509,0
AVL,insert,sorted,10000,0.002000,9986,123617,14
AVL,search,sorted,10000,0.001000,0,123631,14
AVL,delete,sorted,10000,0.001000,4988,92566,14
RB,insert,sorted,10000,0.001000,9976,211383,24
RB,search,sorted,10000,0.000000,0,118853,24
RB,delete,sorted,10000,0.000000,2489,93671,24
Splay,insert,sorted,10000,0.000000,9999,9999,10000
Splay,search,sorted,10000,0.000000,0,54112,10000
Splay,delete,sorted,10000,0.000000,34113,44113,0
AVL,insert,reverse,10000,0.003000,9986,123617,14
AVL,search,reverse,10000,0.001000,0,123631,14
AVL,delete,reverse,10000,-0.000000,4988,92566,14
RB,insert,reverse,10000,0.001000,9976,211383,24
RB,search,reverse,10000,0.001000,0,118853,24
RB,delete,reverse,10000,-0.000000,2489,93671,24
Splay,insert,reverse,10000,0.001000,9999,9999,10000
Splay,search,reverse,10000,0.001000,0,54112,10000
Splay,delete,reverse,10000,0.001000,34113,19999,0
AVL,insert,random,50000,0.009000,17950,672108,17
AVL,search,random,50000,0.007000,0,687315,17
AVL,delete,random,50000,0.011000,10251,632790,17
RB,insert,random,50000,0.010000,29742,727524,19
RB,search,random,50000,0.008000,0,643068,19
RB,delete,random,50000,0.011000,4394,585834,19
Splay
