tree,operation,pattern,n,time,splits,merges,comparisons,node_accesses,height,fill_factor
BTree,insert,random,1000,-0.000000,428,0,9449,5321,6,57.60
BTree,search,random,1000,-0.000000,0,0,9730,5559,6,57.60
BTree,delete,random,1000,0.001000,0,428,10490,4559,6,57.60
BPlusTree,insert,random,1000,-0.000000,795,0,9580,6938,8,61.64
BPlusTree,search,random,1000,-0.000000,0,0,11089,8000,8,61.64
BPlusTree,range_query,random,1000,0.000000,0,0,17,5,8,61.64
BPlusTree,delete,random,1000,0.000000,0,0,0,0,8,61.64
BTree,insert,sorted,1000,-0.000000,492,0,5929,5442,6,50.20
BTree,search,sorted,1000,-0.000000,0,0,9698,5508,6,50.20
BTree,delete,sorted,1000,-0.000000,0,492,5085,5085,6,50.20
BPlusTree,insert,sorted,1000,-0.000000,1978,0,10892,8924,10,33.48
BPlusTree,search,sorted,1000,-0.000000,0,0,11368,10000,10,33.48
BPlusTree,range_query,sorted,1000,0.000000,0,0,112,102,10,33.48
BPlusTree,delete,sorted,1000,0.000000,0,0,0,0,10,33.48
BTree,insert,reverse,1000,-0.000000,976,0,18820,7449,9,25.38
BTree,search,reverse,1000,-0.000000,0,0,9226,8024,9,25.38
BTree,delete,reverse,1000,-0.000000,0,976,22345,6719,9,25.38
BPlusTree,insert,reverse,1000,-0.000000,983,0,12836,7952,9,50.37
BPlusTree,search,reverse,1000,-0.000000,0,0,10478,9000,9,50.37
BPlusTree,range_query,reverse,1000,0.000000,0,0,112,52,9,50.37
BPlusTree,delete,reverse,1000,0.000000,0,0,0,0,9,50.37
BTree,insert,random,5000,-0.000000,2118,0,59953,33553,8,58.80
BTree,search,random,5000,-0.000000,0,0,63069,37587,8,58.80
BTree,delete,random,5000,-0.000000,0,2118,66512,28336,8,58.80
BPlusTree,insert,random,5000,-0.000000,4177,0,60250,44138,10,59.84
BPlusTree,search,random,5000,-0.000000,0,0,67134,50000,10,59.84
BPlusTree,range_query,random,5000,0.000000,0,0,106,46,10,59.84
BPlusTree,delete,random,5000,0.000000,0,0,0,0,10,59.84
BTree,insert,sorted,5000,0.008000,2492,0,37541,35056,8,50.00
BTree,search,sorted,5000,-0.000000,0,0,59762,37508,8,50.00
BTree,delete,sorted,5000,-0.000000,0,2492,32527,32527,8,50.00
BPlusTree,insert,sorted,5000,-0.000000,9975,0,66682,56720,13,33.36
BPlusTree,search,sorted,5000,0.002000,0,0,67424,65000,13,33.36
BPlusTree,range_query,sorted,5000,0.000000,0,0,514,502,13,33.36
BPlusTree,delete,sorted,5000,0.000000,0,0,0,0,13,33.36
BTree,insert,reverse,5000,0.003000,4971,0,123307,48826,11,25.09
BTree,search,reverse,5000,0.000000,0,0,56828,50029,11,25.09
BTree,delete,reverse,5000,0.001000,0,4971,152246,44791,11,25.09
BPlusTree,insert,reverse,5000,-0.000000,4981,0,81509,51757,12,50.06
BPlusTree,search,reverse,5000,-0.000000,0,0,64310,60000,12,50.06
BPlusTree,range_query,reverse,5000,0.000000,0,0,514,252,12,50.06
BPlusTree,delete,reverse,5000,0.000000,0,0,0,0,12,50.06
BTree,insert,random,10000,0.002000,4266,0,131444,74522,9,58.48
BTree,search,random,10000,-0.000000,0,0,131819,84443,9,58.48
BTree,delete,random,10000,-0.000000,0,4266,144023,62364,9,58.48
BPlusTree,insert,random,10000,0.005000,8182,0,130186,97665,11,60.92
BPlusTree,search,random,10000,0.000000,0,0,144128,110000,11,60.92
BPlusTree,range_query,random,10000,0.000000,0,0,305,141,11,60.92
BPlusTree,delete,random,10000,0.000000,0,0,0,0,11,60.92
BTree,insert,sorted,10000,0.000000,4991,0,80190,75207,9,50.00
BTree,search,sorted,10000,0.000000,0,0,129990,85009,9,50.00
BTree,delete,sorted,10000,0.003000,0,4991,72935,72935,9,50.00
BPlusTree,insert,sorted,10000,0.002000,19974,0,143474,123514,14,33.35
BPlusTree,search,sorted,10000,0.001000,0,0,144704,140000,14,33.35
BPlusTree,range_query,sorted,10000,0.000000,0,0,1015,1002,14,33.35
BPlusTree,delete,sorted,10000,0.000000,0,0,0,0,14,33.35
BTree,insert,reverse,10000,0.001000,9968,0,271701,107673,12,25.05
BTree,search,reverse,10000,0.000000,0,0,123637,110032,12,25.05
BTree,delete,reverse,10000,0.000000,0,9968,339220,99500,12,25.05
BPlusTree,insert,reverse,10000,0.005000,9979,0,178102,113554,13,50.04
BPlusTree,search,reverse,10000,0.000000,0,0,138618,130000,13,50.04
BPlusTree,range_query,reverse,10000,0.000000,0,0,1015,502,13,50.04
BPlusTree,delete,reverse,10000,0.000000,0,0,0,0,13,50.04
