tree,operation,pattern,n,time,rotations,comparisons,height
AVL,insert,random,1000,-0.000000,678,8698,12
AVL,search,random,1000,-0.000000,0,9172,12
AVL,delete,random,1000,-0.000000,370,8583,12
RB,insert,random,1000,-0.000000,566,8735,12
RB,search,random,1000,-0.000000,0,8184,12
RB,delete,random,1000,-0.000000,78,6240,12
Splay,insert,random,1000,-0.000000,11336,11348,24
Splay,search,random,1000,-0.000000,0,14128,23
Splay,delete,random,1000,-0.000000,13429,11346,0
AVL,insert,sorted,1000,-0.000000,990,8977,10
AVL,search,sorted,1000,-0.000000,0,8987,10
AVL,delete,sorted,1000,-0.000000,491,6806,10
RB,insert,sorted,1000,-0.000000,983,14481,17
RB,search,sorted,1000,-0.000000,0,8406,17
RB,delete,sorted,1000,-0.000000,242,6085,17
Splay,insert,sorted,1000,-0.000000,999,999,1000
Splay,search,sorted,1000,-0.000000,0,5374,1000
Splay,delete,sorted,1000,-0.000000,3375,4375,0
AVL,insert,reverse,1000,-0.000000,990,8977,10
AVL,search,reverse,1000,-0.000000,0,8987,10
AVL,delete,reverse,1000,-0.000000,491,6806,10
RB,insert,reverse,1000,-0.000000,983,14481,17
RB,search,reverse,1000,-0.000000,0,8406,17
RB,delete,reverse,1000,-0.000000,242,6085,17
Splay,insert,reverse,1000,-0.000000,999,999,1000
Splay,search,reverse,1000,-0.000000,0,5374,1000
Splay,delete,reverse,1000,-0.000000,3375,1999,0
AVL,insert,random,5000,0.000000,3245,54653,14
AVL,search,random,5000,0.000000,0,56936,14
AVL,delete,random,5000,0.004000,1884,53822,14
RB,insert,random,5000,-0.000000,2904,55518,15
RB,search,random,5000,-0.000000,0,52148,15
RB,delete,random,5000,-0.000000,394,43286,15
Splay,insert,random,5000,0.006000,72851,73217,28
Splay,search,random,5000,0.004000,0,85816,27
Splay,delete,random,5000,-0.000000,85152,73975,0
AVL,insert,sorted,5000,0.005000,4987,56809,13
AVL,search,sorted,5000,-0.000000,0,56822,13
AVL,delete,sorted,5000,-0.000000,2489,42534,13
RB,insert,sorted,5000,-0.000000,4978,95715,22
RB,search,sorted,5000,-0.000000,0,54435,22
RB,delete,sorted,5000,-0.000000,1240,41849,22
Splay,insert,sorted,5000,-0.000000,4999,4999,5000
Splay,search,sorted,5000,0.003000,0,27028,5000
Splay,delete,sorted,5000,-0.000000,17029,22029,0
AVL,insert,reverse,5000,-0.000000,4987,56809,13
AVL,search,reverse,5000,0.002000,0,56822,13
AVL,delete,reverse,5000,-0.000000,2489,42534,13
RB,insert,reverse,5000,-0.000000,4978,95715,22
RB,search,reverse,5000,-0.000000,0,54435,22
RB,delete,reverse,5000,-0.000000,1240,41849,22
Splay,insert,reverse,5000,-0.000000,4999,4999,5000
Splay,search,reverse,5000,-0.000000,0,27028,5000
Splay,delete,reverse,5000,0.003000,17029,9999,0
AVL,insert,random,10000,0.004000,6071,118051,16
AVL,search,random,10000,0.000000,0,122398,16
AVL,delete,random,10000,0.003000,3435,115808,16
RB,insert,random,10000,0.000000,5828,121158,16
RB,search,random,10000,0.004000,0,113063,16
RB,delete,random,10000,0.002000,805,95676,16
Splay,insert,random,10000,0.004000,157734,159130,33
Splay,search,random,10000,0.005000,0,182287,32
Splay,delete,random,10000,0.006000,173517,160134,0
AVL,insert,sorted,10000,0.003000,9986,123617,14
AVL,search,sorted,10000,0.002000,0,123631,14
AVL,delete,sorted,10000,0.000000,4988,92566,14
RB,insert,sorted,10000,0.002000,9976,211383,24
RB,search,sorted,10000,0.000000,0,118853,24
RB,delete,sorted,10000,0.000000,2489,93671,24
Splay,insert,sorted,10000,0.003000,9999,9999,10000
Splay,search,sorted,10000,0.000000,0,54112,10000
Splay,delete,sorted,10000,0.002000,34113,44113,0
AVL,insert,reverse,10000,-0.000000,9986,123617,14
AVL,search,reverse,10000,0.002000,0,123631,14
AVL,delete,reverse,10000,0.002000,4988,92566,14
RB,insert,reverse,10000,-0.000000,9976,211383,24
RB,search,reverse,10000,-0.000000,0,118853,24
RB,delete,reverse,10000,-0.000000,2489,93671,24
Splay,insert,reverse,10000,-0.000000,9999,9999,10000
Splay,search,reverse,10000,-0.000000,0,54112,10000
Splay,delete,reverse,10000,-0.000000,34113,19999,0
AVL,insert,random,50000,0.016000,17898,672370,18
AVL,search,random,50000,0.010000,0,687831,18
AVL,delete,random,50000,0.015000,10280,633905,18
RB,insert,random,50000,0.009000,29786,727063,19
RB,search,random,50000,0.017000,0,641120,19
RB,delete,random,50000,
